lems 342
Term is =  consolidated, Number of occurrences: 1
Term is =  results, Number of occurrences: 1
Term is =  four, Number of occurrences: 1
Term is =  manager, Number of occurrences: 2
Term is =  luxembourg, Number of occurrences: 1
Term is =  go, Number of occurrences: 1
Term is =  raf, Number of occurrences: 3
Term is =  to, Number of occurrences: 16
Term is =  suffered, Number of occurrences: 1
Term is =  resources, Number of occurrences: 2
Term is =  brown, Number of occurrences: 1
Term is =  khmer, Number of occurrences: 1
Term is =  returned, Number of occurrences: 1
Term is =  lincolnshire, Number of occurrences: 1
Term is =  team's, Number of occurrences: 1
Term is =  minute, Number of occurrences: 1
Term is =  issue, Number of occurrences: 1
Term is =  proposals, Number of occurrences: 1
Term is =  37bn, Number of occurrences: 1
Term is =  bournemouth, Number of occurrences: 1
Term is =  ceasefire, Number of occurrences: 1
Term is =  heinz, Number of occurrences: 1
Term is =  talks, Number of occurrences: 1
Term is =  rate, Number of occurrences: 1
Term is =  cranwell, Number of occurrences: 3
Term is =  investment, Number of occurrences: 1
Term is =  what, Number of occurrences: 1
Term is =  brief, Number of occurrences: 1
Term is =  current, Number of occurrences: 1
Term is =  3m, Number of occurrences: 1
Term is =  new, Number of occurrences: 1
Term is =  lee, Number of occurrences: 1
Term is =  reported, Number of occurrences: 1
Term is =  100, Number of occurrences: 1
Term is =  900, Number of occurrences: 1
Term is =  ahead, Number of occurrences: 1
Term is =  canadian, Number of occurrences: 1
Term is =  technical, Number of occurrences: 1
Term is =  airport, Number of occurrences: 1
Term is =  published, Number of occurrences: 4
Term is =  named, Number of occurrences: 1
Term is =  bloody, Number of occurrences: 1
Term is =  retires, Number of occurrences: 1
Term is =  cocaine, Number of occurrences: 1
Term is =  post, Number of occurrences: 1
Term is =  from, Number of occurrences: 2
Term is =  would, Number of occurrences: 1
Term is =  geevor, Number of occurrences: 2
Term is =  visit, Number of occurrences: 1
Term is =  two, Number of occurrences: 1
Term is =  next, Number of occurrences: 1
Term is =  522m, Number of occurrences: 1
Term is =  taken, Number of occurrences: 1
Term is =  today, Number of occurrences: 1
Term is =  company, Number of occurrences: 2
Term is =  jurgen, Number of occurrences: 1
Term is =  appointed, Number of occurrences: 1
Term is =  circumstances, Number of occurrences: 1
Term is =  1991, Number of occurrences: 4
Term is =  1990, Number of occurrences: 1
Term is =  1992, Number of occurrences: 1
Term is =  this, Number of occurrences: 3
Term is =  modified, Number of occurrences: 1
Term is =  remain, Number of occurrences: 1
Term is =  mr, Number of occurrences: 10
Term is =  growing, Number of occurrences: 1
Term is =  ciali, Number of occurrences: 2
Term is =  president, Number of occurrences: 2
Term is =  stated, Number of occurrences: 1
Term is =  tax, Number of occurrences: 1
Term is =  sir, Number of occurrences: 3
Term is =  end, Number of occurrences: 1
Term is =  dm31, Number of occurrences: 1
Term is =  attend, Number of occurrences: 1
Term is =  may, Number of occurrences: 7
Term is =  heinkel, Number of occurrences: 1
Term is =  whittle, Number of occurrences: 4
Term is =  designed, Number of occurrences: 1
Term is =  dm30, Number of occurrences: 1
Term is =  natural, Number of occurrences: 1
Term is =  departure, Number of occurrences: 1
Term is =  chief, Number of occurrences: 1
Term is =  that's, Number of occurrences: 1
Term is =  replied, Number of occurrences: 1
Term is =  over, Number of occurrences: 1
Term is =  seizing, Number of occurrences: 1
Term is =  satisfied, Number of occurrences: 1
Term is =  years, Number of occurrences: 2
Term is =  course, Number of occurrences: 1
Term is =  shake, Number of occurrences: 1
Term is =  turbine, Number of occurrences: 1
Term is =  its, Number of occurrences: 4
Term is =  before, Number of occurrences: 1
Term is =  group, Number of occurrences: 4
Term is =  21, Number of occurrences: 1
Term is =  23, Number of occurrences: 1
Term is =  weber, Number of occurrences: 2
Term is =  someone, Number of occurrences: 1
Term is =  finance, Number of occurrences: 5
Term is =  chileans, Number of occurrences: 1
Term is =  dm900m, Number of occurrences: 1
Term is =  they, Number of occurrences: 2
Term is =  half, Number of occurrences: 1
Term is =  front, Number of occurrences: 2
Term is =  bank, Number of occurrences: 2
Term is =  successor, Number of occurrences: 1
Term is =  shouted, Number of occurrences: 1
Term is =  january, Number of occurrences: 1
Term is =  bone, Number of occurrences: 1
Term is =  michael, Number of occurrences: 1
Term is =  178, Number of occurrences: 1
Term is =  police, Number of occurrences: 1
Term is =  year, Number of occurrences: 4
Term is =  81, Number of occurrences: 1
Term is =  event, Number of occurrences: 1
Term is =  profit, Number of occurrences: 1
Term is =  since, Number of occurrences: 1
Term is =  health, Number of occurrences: 1
Term is =  venezuela, Number of occurrences: 1
Term is =  announced, Number of occurrences: 1
Term is =  frank, Number of occurrences: 4
Term is =  extraordinary, Number of occurrences: 1
Term is =  language, Number of occurrences: 1
Term is =  british, Number of occurrences: 3
Term is =  caption, Number of occurrences: 1
Term is =  first, Number of occurrences: 4
Term is =  owned, Number of occurrences: 1
Term is =  enlarged, Number of occurrences: 1
Term is =  another, Number of occurrences: 1
Term is =  spanish, Number of occurrences: 1
Term is =  ring, Number of occurrences: 1
Term is =  imperial, Number of occurrences: 1
Term is =  kuan, Number of occurrences: 1
Term is =  engineer, Number of occurrences: 1
Term is =  management, Number of occurrences: 1
